category,image_id,image_path,ecg_id,layout,status,error,method,cosine_similarity,mean_abs_probability_difference,agreement_rate
photos_samsung,42,photos_samsung/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,tiled,0.9882675409317017,0.013712050393223763,1.0
photos_samsung,42,photos_samsung/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,segment_ensemble,0.9951721429824829,0.008728103712201118,0.9933333333333333
photos_scans,42,photos_scans/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,tiled,0.7764880657196045,0.06707198917865753,0.9533333333333334
photos_scans,42,photos_scans/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,segment_ensemble,0.8746568560600281,0.049989908933639526,0.9866666666666667
photos_screens,42,photos_screens/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,tiled,0.9271485209465027,0.0357307605445385,0.98
photos_screens,42,photos_screens/img_42_page_0.jpeg,LPAE_09545_hr,3x4+1R,success,,segment_ensemble,0.9762265086174011,0.022407853975892067,0.9933333333333333
photos_bents,43,photos_bents/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,tiled,0.8977236747741699,0.044289253652095795,0.9533333333333334
photos_bents,43,photos_bents/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,segment_ensemble,0.9542924761772156,0.031956396996974945,0.98
photos_crumbles,43,photos_crumbles/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,tiled,0.9146245121955872,0.03998412564396858,0.96
photos_crumbles,43,photos_crumbles/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,segment_ensemble,0.9273655414581299,0.04748943820595741,0.98
photos_doogee,43,photos_doogee/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,tiled,0.9826356172561646,0.020546069368720055,0.9733333333333334
photos_doogee,43,photos_doogee/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,segment_ensemble,0.9951431751251221,0.009144514799118042,0.9933333333333333
photos_iphone,43,photos_iphone/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,tiled,0.9683985114097595,0.027752120047807693,0.9666666666666667
photos_iphone,43,photos_iphone/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,segment_ensemble,0.9665772914886475,0.027351796627044678,0.9933333333333333
photos_samsung,43,photos_samsung/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,tiled,0.9606515765190125,0.0284897331148386,0.96
photos_samsung,43,photos_samsung/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,segment_ensemble,0.9756091237068176,0.023801354691386223,0.9866666666666667
photos_scans,43,photos_scans/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,tiled,0.9572073817253113,0.02870120294392109,0.9733333333333334
photos_scans,43,photos_scans/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,segment_ensemble,0.9888583421707153,0.01812177337706089,1.0
photos_screens,43,photos_screens/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,tiled,0.9226412773132324,0.042333927005529404,0.9466666666666667
photos_screens,43,photos_screens/img_43_page_0.jpeg,LPAE_09754_hr,3x4+1R,success,,segment_ensemble,0.9545420408248901,0.03335922211408615,0.9866666666666667
photos_bents,80,photos_bents/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,tiled,0.7746961116790771,0.07995273172855377,0.9333333333333333
photos_bents,80,photos_bents/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,,segment_ensemble,0.7923755645751953,0.07690753787755966,0.9333333333333333
