category,image_id,image_path,ecg_id,layout,status,elapsed_seconds,error,layout_name,nonzero_leads_count,einthoven_score,median_correlation,mean_correlation,minimum_correlation,median_normalized_rmse,median_rmse_mv,median_snr_db,median_gain_ratio
photos_scans,80,photos_scans/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,9.095708084001672,,3x4+1R,12,0.992282639800945,0.980202528166701,0.9760434443412613,0.94905427840824,0.19898299744164386,0.02639474438831385,13.067994830416286,0.9327639060320403
photos_screens,80,photos_screens/img_80_page_0.jpeg,LPAE_19394_hr,3x4+1R,success,13.870248958002776,,3x4+1R,12,-0.04916141487417391,0.7946078939923963,0.7913695101363579,0.3967874493564293,0.6398154769673937,0.06354275291835965,3.977137685076,0.8954500681474318
photos_bents,81,photos_bents/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,12.582663792010862,,3x4+1R,12,0.6853198854191129,0.3714344977023172,0.41347096410292056,0.1671016143036018,1.121218418646728,0.17876503926602444,-0.25925736836288904,0.7975012390767751
photos_crumbles,81,photos_crumbles/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,10.375169541992364,,Unknown layout,12,-0.07501359820430471,0.07352232944717586,0.12017049001059843,0.006389532899792645,1.3612306858100607,0.25646013716917904,-2.7028609488108923,0.968896937960779
photos_doogee,81,photos_doogee/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,5.824608708993765,,3x4+1R,12,0.9549180679539585,0.7366048847581887,0.7516936917332159,0.4323477230454746,0.7257975353206043,0.14948046703081402,2.697970242067588,0.895917616394442
photos_iphone,81,photos_iphone/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,8.602806415990926,,3x4+1R,12,0.9754263043097445,0.8322063412254593,0.832596808895795,0.5948040323142524,0.5787418841949616,0.10589987746777743,3.8162942923307215,0.8899005788361855
photos_samsung,81,photos_samsung/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,5.298003208008595,,3x4+1R,12,0.9563170786952925,0.8515813077801047,0.8249958599588493,0.29430676400952366,0.5447537956394777,0.10138562575172098,5.316312892664923,0.8698196966373484
photos_scans,81,photos_scans/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,9.57153100000869,,3x4+1R,12,0.98839115220891,0.9774690309574156,0.8815055483790785,0.33689947629939326,0.21227582281652338,0.07164381094436377,8.933734948588747,0.9049175857038032
photos_screens,81,photos_screens/img_81_page_0.jpeg,LPAE_00232_hr,3x4+1R,success,14.780835124998703,,3x4+1R,12,0.591856950146303,0.7288930858221179,0.7149071861607661,0.41399102456405024,0.7358336185731118,0.1456651194771096,2.5539406042359407,0.8073960602015577
photos_bents,82,photos_bents/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,5.935739874999854,,3x4+1R,12,0.37076927182301533,0.5852840569653561,0.5900710114859795,0.03330318637130859,0.9106115578355236,0.145212508860467,0.7566577748606724,0.81464132101195
photos_crumbles,82,photos_crumbles/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,11.284540209002444,,3x4+1R,12,0.17803249657735784,0.3083782873337676,0.2516495689144203,-0.020985618084383404,1.1759592737953881,0.21345887034811556,-1.0008509771664738,0.9202969325865611
photos_doogee,82,photos_doogee/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,8.758287958000437,,3x4+1R,12,0.9716189145231593,0.8260042985257392,0.8124311930471976,0.5877146658839937,0.5899021529336392,0.10644821922601094,2.6927488631472603,0.8958089305015504
photos_iphone,82,photos_iphone/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,7.320566416005022,,3x4+1R,12,0.8674297087361504,0.863713382217818,0.864048342738572,0.7076155332378544,0.521382003863324,0.08634011910185868,4.684090210133663,0.9053897745798412
photos_samsung,82,photos_samsung/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,8.398444499995094,,3x4+1R,12,0.9685333489151297,0.8718606794090482,0.8416489679876281,0.6810858016191845,0.5058372629658923,0.09419315215925755,5.299685815152278,0.8994809922130991
photos_scans,82,photos_scans/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,5.919003499991959,,3x4+1R,12,0.9931758752366305,0.9547446296615745,0.9081594046211188,0.5814205801797369,0.29847998371428586,0.07189446332572345,8.079888341525733,0.8888578534815084
photos_screens,82,photos_screens/img_82_page_0.jpeg,LPAE_19269_hr,3x4+1R,success,18.39799683300953,,3x4+1R,12,0.6620004456716324,0.7360116517880408,0.6925936877928806,0.1368171960674581,0.7229608465827111,0.12756617685766392,1.1267750583155958,0.8664781012832303
photos_bents,92,photos_bents/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,11.573500541999238,,3x4+1R,12,0.5950359565552734,0.13207623593007062,0.1731146678690443,-0.032590532218251894,1.3170270838094085,0.21141547771072303,-1.6035062112948806,0.8140668907530305
photos_crumbles,92,photos_crumbles/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,13.79175341699738,,3x4+1R,12,0.05335530600704579,0.41087692858666824,0.40276231502306553,0.0417834747878038,1.0854593538556978,0.1921820343283247,0.06157955667974717,0.7687587003347927
photos_doogee,92,photos_doogee/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,7.9404494170012185,,3x4+1R,12,0.6961016971118313,0.8542680017928131,0.837959356873527,0.6306448036745268,0.5378996278263243,0.12048257578255056,3.9261686983881052,0.7798871644376568
photos_iphone,92,photos_iphone/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,5.466656666001654,,3x4+1R,12,0.8630929316817518,0.8388105767415531,0.7596065877337752,0.4311830515150775,0.5629840666744835,0.14320429437077772,2.94750658086043,0.780582868895028
photos_samsung,92,photos_samsung/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,7.033403790992452,,3x4+1R,12,0.902622761346131,0.8871914288624552,0.8599264554028413,0.619129415469077,0.47495392017122606,0.10942065611582721,4.55195047025877,0.7588376976461546
photos_scans,92,photos_scans/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,6.099068291994627,,3x4+1R,12,0.9660704662203521,0.9116567953400248,0.9057527226864441,0.7598117894581695,0.42013638537357784,0.09353406344902951,5.844919082873021,0.8050055681231005
photos_screens,92,photos_screens/img_92_page_0.jpeg,LPAE_14680_hr,3x4+1R,success,12.99350370799948,,3x4+1R,12,0.8430190526177596,0.7028452015245279,0.7148469228567409,0.5447644046142436,0.7709116932925373,0.14982395660481507,2.3404686486723527,0.7539428197790138
