category,image_id,ecg_id,baseline_status,candidate_status,status_changed,median_correlation_delta,median_rmse_mv_delta,median_snr_db_delta,median_gain_error_delta,elapsed_seconds_delta,baseline_quality_gate,candidate_quality_gate
photos_crumbles,92,LPAE_14680_hr,success,success,False,-0.002834397834439617,0.0038683007617260623,0.029215954110553374,0.011230411686706354,-5.289066750003258,reject,reject
photos_doogee,92,LPAE_14680_hr,success,success,False,-0.006199461063271516,0.0006307185711667967,-0.18680154895296752,0.005690079270103121,-9.996633915998245,warn,warn
photos_iphone,92,LPAE_14680_hr,success,success,False,0.0003819477503163027,-0.00011018178598634631,0.007208526097236323,0.002404375407355386,-15.790347875998123,warn,warn
photos_samsung,92,LPAE_14680_hr,success,success,False,0.0017937875795386304,1.539658145899292e-05,0.06448287860992608,0.002326417800143199,-16.304363959008697,warn,accept
photos_scans,92,LPAE_14680_hr,success,success,False,-0.004310411157542049,-0.00032664341839944155,-0.07675905825635887,-0.0031212254907705406,-6.406119833005505,accept,accept
photos_screens,92,LPAE_14680_hr,success,success,False,0.4278094095350521,-0.05423799991822098,3.1176354350132494,-0.01567513298933798,-22.77109579200078,warn,reject
photos_bents,14,LPAE_17226_hr,success,success,False,-0.0012688119093643424,0.027529159898216693,-1.249248561172358,-0.1710937948426926,2.3490100420003728,reject,reject
photos_crumbles,14,LPAE_17226_hr,success,success,False,0.007751005261409483,0.049046822575853355,0.06924355769576701,0.03641031877147649,2.345332206994499,reject,reject
photos_doogee,14,LPAE_17226_hr,success,success,False,-0.01691921848513811,0.004221550578781624,-0.49428526568981557,-0.02947219325676742,2.268953834003696,warn,warn
photos_iphone,14,LPAE_17226_hr,success,success,False,0.5001810241952562,-0.0036507345004211933,2.5822917680552577,0.019675388997916765,2.4769100829926174,warn,warn
photos_samsung,14,LPAE_17226_hr,success,success,False,0.010805330589310547,-0.0031170878914000832,0.01347973623490617,-0.0009272776553828077,-1.9916948760073865,accept,accept
photos_scans,14,LPAE_17226_hr,success,success,False,0.00045124323456083304,-0.0038629555251806225,0.0006656432833533898,0.00017695512560844673,0.9692442089963151,warn,warn
photos_screens,14,LPAE_17226_hr,success,success,False,-0.6312919912106316,0.2068915786440966,-5.328729005476639,-0.047836352417487404,3.4581279999856633,reject,reject
photos_bents,82,LPAE_19269_hr,success,success,False,0.10688457903277321,5.921188287949519e-05,0.6209387396057021,0.008468545978638997,-1.532028084000558,reject,reject
photos_crumbles,82,LPAE_19269_hr,success,success,False,-0.003846452971709935,0.0006510394778007633,0.06264161011890512,0.002063682511931564,-3.8009707079982036,reject,reject
photos_doogee,82,LPAE_19269_hr,success,success,False,0.005522701943901698,-0.010411929806126027,0.4544365062952931,-0.004455771040457579,-0.2828385419998085,warn,warn
photos_iphone,82,LPAE_19269_hr,success,success,False,0.5772923026949106,-0.07917509076230578,4.602562661660977,-0.4790474053707915,-4.998326666995126,reject,warn
photos_samsung,82,LPAE_19269_hr,success,success,False,0.045483661690115085,-0.001397825981143741,1.2380551678689056,0.0012252368275785797,-0.9867823750046227,accept,accept
photos_scans,82,LPAE_19269_hr,success,success,False,0.0,0.0,0.0,0.0,-1.490159417007817,accept,accept
photos_screens,82,LPAE_19269_hr,success,success,False,-0.06429153738972515,0.025602344765641244,-1.05974936625188,-0.05241822356832371,-3.9463267079900106,warn,warn
photos_bents,80,LPAE_19394_hr,success,success,False,0.27898445593125415,-0.05207543689088266,1.0711430822947636,0.13529800157669958,0.13530099999297818,reject,reject
photos_crumbles,80,LPAE_19394_hr,success,success,False,0.035650614820926796,-0.002234959335212075,0.12094537466366995,-0.005013863879449687,6.1213587499969435,reject,reject
photos_doogee,80,LPAE_19394_hr,success,success,False,0.000692781996431302,0.000760083081477271,-0.04295114464198946,-0.0036094713087547747,5.494329042012396,warn,warn
photos_iphone,80,LPAE_19394_hr,success,success,False,-0.0004123120037511363,-0.0033210666299473557,0.1821093012892625,0.0035125650754505022,4.193408457997066,warn,warn
photos_samsung,80,LPAE_19394_hr,success,success,False,0.012884324988165274,0.0006218019737844471,0.3110858076173848,0.0023976574629482883,3.7111395410065597,reject,reject
photos_scans,80,LPAE_19394_hr,success,success,False,0.0,0.0,0.0,0.0,-0.5612027909992321,warn,warn
photos_screens,80,LPAE_19394_hr,success,success,False,-0.00011998853847772217,-0.004119116995762076,0.11452502155432853,-0.0025424368442283907,-3.05438358399806,reject,warn
photos_bents,4,LPAE_20999_hr,success,success,False,-0.00011652799108752276,-0.0015950605216222824,-0.018144427750299563,-0.0010481574454135334,0.67691266699876,reject,reject
photos_crumbles,4,LPAE_20999_hr,success,success,False,0.01957798334186578,0.005927074680148664,-0.36276509363311327,-0.014907781483298077,0.768970791998072,reject,reject
photos_doogee,4,LPAE_20999_hr,success,success,False,0.0004017442011349237,0.00114805781734173,0.03843319647329224,0.002868128949229054,1.635825751003722,warn,warn
photos_iphone,4,LPAE_20999_hr,success,success,False,0.0007609564476717123,-0.000269322839384592,0.1391958015473076,-0.0009446437535839403,0.36224945800677233,reject,reject
photos_samsung,4,LPAE_20999_hr,success,success,False,-0.0002689841790236569,2.8118399841313424e-05,0.003335796019598547,0.0006876655115563013,2.012327832997471,warn,warn
photos_scans,4,LPAE_20999_hr,success,success,False,0.0,0.0,0.0,0.0,2.750477375004266,warn,warn
photos_screens,4,LPAE_20999_hr,success,success,False,-0.00022089844729866748,9.039808539504368e-05,-0.029808354129976955,-0.0008558611407065708,3.4870613340044656,warn,warn
